,Hotel_name,Hotel_address,Hotel_price,Rating,Amenities
0,Capital O 18946 Admire Suit Hospitality,"Near Chepauk Cricket Stadium, Triplicane, Chennai",₹1099,4.4 (1194 Ratings),"Free Wifi, Power backup, Card Payment"
1,SPOT ON 78619 Grand Residency,No. 34 Near Rippon Building Periyamet Chennai,₹754,4.4 (892 Ratings),"Parking Facility, Reception, Free Wifi"
2,SPOT ON 67567 Central Inn,"No :11 Muthu street periyamedu central opposite to canara bank chennai , Chennai",₹1304,4.8 (2431 Ratings),"TV, Private Entrance, Parking Facility"
3,SPOT ON 84377 Mgh Meridian Guest House,"India, Chennai",₹839,4.4 (24 Ratings),"Reception, Geyser, CCTV Cameras"
4,OYO Townhouse 430 Everest Hotel,"Opp Chennai Central Railway Station , PH Road",₹1657,4.7 (2888 Ratings),"Parking Facility, Reception, 24x7 Facility Manager"
5,Townhouse 833 Mrv Inn,"Near SS Music Office, Triplicane High Road, Chennai",₹1299,Unrated (New - No Ratings),"Doctor on Call, Reception, Ticket Tour Assistance"
6,SPOT ON 85277 Relax Rooms,"India, Chennai",₹549,Unrated (New - No Ratings),"Elevator, Reception, Geyser"
7,SPOT ON 40837 Bt Mansion,"Pillayar Koil St Triplicane., Chennai",₹499,3 (64 Ratings),"Reception, Geyser, Daily Housekeeping"
8,Collection O 76917 Grace Residency ,"Purasaiwakkam, Chennai",₹1667,4.4 (745 Ratings),AC
9,SPOT ON 77468 Kunkumam Residency ,"Triplicane, Chennai",₹899,4.3 (478 Ratings),"AC, TV, Private Entrance"
10,OYO Flagship  83347 Mjr Residency,"Near Express Estate, Royapettah, chennai",₹699,4.2 (151 Ratings),"Hair Dryer, Reception, Free Wifi"
11,SPOT ON 46343 Jayanthi Mansion,"Near Batcha Theatre, Thatha Muthiappan Street, Chennai",₹569,2.8 (17 Ratings),"Reception, Daily Housekeeping, CCTV Cameras"
12,SPOT ON 29391 Agp Home Stay,"Near Jain Temple, Purasaiwakkam, Chennai",₹689,3.7 (340 Ratings),"Parking Facility, Reception, Queen Sized Bed"
13,OYO 66844 Mtc Guest House ,"Near Kalaivanar Arangam, Chepauk, Chennai",₹799,3.8 (252 Ratings),AC
14,OYO 47526 Hotel Himalaya Residency ,"Near Triplicane High Road, Triplicne, Chennai",₹799,3.7 (344 Ratings),"Reception, AC, Daily Housekeeping"
15,SPOT ON 40666 Great Hotel,"Near Central Railway Station, Chennai",₹727,2.8 (45 Ratings),"Reception, Daily Housekeeping, CCTV Cameras"
16,SPOT ON 67646 Jk Guest House,"Near Gosha Hospital, Triplicane, Chennai",₹718,3.8 (203 Ratings),"TV, AC, Reception"
17,SPOT ON 79520 Sam Guest House,"Al Malick Marriage Hall, Thakkudeen Street, Triplicane road, Chennai ",₹899,3.9 (683 Ratings),"TV, Doctor on Call, Parking Facility"
18,Collection O 77368 Maruthi Residency,"Mogappair East, Chennai",₹999,4.4 (885 Ratings),"Private Entrance, Reception, Free Wifi"
19,SPOT ON 75361 Sarovar Inn,"Near Central Railway Station, Central, Chennai",₹799,3.8 (125 Ratings),"Reception, Free Wifi, CCTV Cameras"
20,SPOT ON 40666 Great Hotel,"Near Central Railway Station, Chennai",₹839,2.8 (45 Ratings),"Reception, Daily Housekeeping, CCTV Cameras"
21,SPOT ON 67646 Jk Guest House,"Near Gosha Hospital, Triplicane, Chennai",₹868,3.8 (203 Ratings),"TV, AC, Reception"
22,SPOT ON 64228 Ram Palace,"Near Arumbakam Metro Station, loganathan nagar, Chennai",₹549,2.7 (74 Ratings),"Parking Facility, Window, Reception"
23,OYO Flagship 3757 Green Galaxy,"Near Triplicane High Road, Chennai",₹749,3.7 (71 Ratings),"Private Entrance, Reception, Free Wifi"
24,Oyo Home 75669 Akash Inn,"Chennai, Chennai",₹799,3.6 (157 Ratings),"Elevator, Free Wifi, Power backup"
25,SPOT ON 76478 Jj Calibre Residency,"Chepauk, Chennai",₹799,3.2 (145 Ratings),"AC, Reception, Queen Sized Bed"
26,SPOT ON 29391 Agp Home Stay,"Near Jain Temple, Purasaiwakkam, Chennai",₹734,3.7 (340 Ratings),"Parking Facility, Reception, Queen Sized Bed"
